customer_no,total_enq_amt,total_enq_count
453,2200991.0,24
454,1011000.0,10
455,3163404.0,19
456,3599610.0,17
457,115300.0,11
458,327000.0,8
459,142000.0,6
460,11469000.0,20
461,3828504.0,50
462,946600.0,22
463,5855103.0,30
464,164000.0,8
465,317001.0,11
466,98000.0,8
467,311000.0,9
468,6151000.0,24
469,53000.0,4
470,39917126.0,23
471,2808218.0,19
472,4426572.0,42
473,2306400.0,33
474,1478000.0,22
475,266000.0,7
476,15000.0,1
477,1772200.0,24
478,4418001.0,35
479,292000.0,4
480,4140000.0,13
481,151000.0,3
482,5801000.0,10
483,949000.0,12
484,1079000.0,12
485,104278500.0,27
486,75000.0,2
487,2510000.0,37
488,193000.0,5
489,45300.0,7
490,5901000.0,7
491,4539200.0,26
492,12670302.0,52
493,2134000.0,32
494,2820000.0,11
495,310000.0,5
496,14586002.0,43
497,520000.0,9
498,1373000.0,11
499,4421184.0,27
500,20133101.0,36
501,625000.0,5
502,6643000.0,41
503,101000.0,3
504,36890003.0,51
505,2058006.0,51
506,409001.0,13
507,758000.0,13
508,5710000.0,12
509,1003200.0,22
510,483000.0,18
511,2646000.0,20
512,538900.0,6
513,72000.0,5
514,151000.0,3
515,1821000.0,14
516,1187100.0,15
517,1774560.0,25
518,233000.0,8
519,1616150.0,11
520,166000.0,5
521,548370.0,18
522,1000.0,1
523,115003.0,3
524,3309150.0,25
525,178000.0,3
526,2751000.0,14
527,2894976.0,31
528,854330.0,17
529,51000.0,2
530,9984485.0,23
531,3068000.0,15
532,250001.0,6
533,812000.0,15
534,308000.0,14
535,482100.0,11
536,951000.0,6
537,829800.0,11
538,187000.0,7
539,27746611.0,57
540,2234500.0,8
541,7388063.0,31
542,836102.0,14
543,10156000.0,27
544,6832240.0,29
545,1721000.0,12
546,3879950.0,24
547,1471000.0,13
548,1280000.0,6
549,1239000.0,14
550,8984801.0,36
551,1070000.0,17
552,353000.0,11
553,526000.0,8
554,5211002.0,64
555,5115850.0,24
556,428100.0,9
557,1733000.0,14
558,3941100.0,19
559,805000.0,9
560,3320100.0,14
561,4019100.0,27
562,3521200.0,21
563,2672001.0,13
564,106790011.0,38
565,507001.0,11
566,38875300.0,22
567,2408000.0,21
568,53000.0,4
569,2144450.0,26
570,2222504.0,47
571,1804620.0,15
572,201000.0,3
573,1868000.0,14
574,6967002.0,46
575,2850000.0,2
576,2096000.0,19
577,351100.0,10
578,96000.0,5
579,80000.0,2
580,2806081.0,42
581,1361000.0,21
582,4259000.0,15
583,6400100.0,4
584,1256893.0,25
585,1930711.0,18
586,564000.0,12
587,597000.0,7
588,888000.0,17
589,211000.0,7
590,132000.0,7
591,756003.0,18
592,1482320.0,31
593,1236000.0,20
594,243500.0,7
595,296250.0,11
596,108000.0,6
597,719000.0,10
598,14821980.0,44
599,1772000.0,24
600,828000.0,17
601,801000.0,24
602,1006000.0,12
603,187000.0,7
604,5383583.0,37
605,3940002.0,36
606,1766001.0,7
607,1780000.0,15
608,1000.0,1
609,3681300.0,33
610,2306501.0,17
611,3343906.0,20
612,9244002.0,34
613,557000.0,14
614,15221000.0,11
615,642000.0,16
